id_lead,data_primeiro_contato,origem,roteiro_interesse,modalidade,n_pessoas,mes_viagem_desejado,orcamento_aprox,status,data_fechamento,dias_ate_fechar,valor_venda
000121,2020-05-25,TikTok,Caminho Francês,Autoguiado,2,Fevereiro,R$ 19.006,Fechado,2020-06-27,33,R$ 20.137
000122,2020-10-22,YouTube,Via Francigena,Autoguiado,5,Junho,R$ 41.066,Negociando,,,
000123,2021-08-27,Google,Caminho do Norte,Autoguiado,2,Julho,R$ 15.510,Fechado,2021-09-20,24,R$ 16.980
000124,2023-07-10,YouTube,Via Francigena,Guiado,3,Janeiro,R$ 33.460,Fechado,2023-07-29,19,R$ 32.479
000125,2024-10-12,Facebook,Caminho Português,Autoguiado,2,Novembro,R$ 13.595,Sem resposta,,,
000126,2024-07-06,Google,Via Francigena,Premium,1,Junho,R$ 8.803,Fechado,2024-07-28,22,R$ 9.272
000127,2026-08-24,WhatsApp,Via Francigena,Guiado,2,Junho,R$ 18.713,Fechado,2026-09-01,8,R$ 19.495
000128,2021-09-05,YouTube,Caminho Português,Guiado,3,Agosto,R$ 22.298,Fechado,2021-09-26,21,R$ 23.804
000129,2024-03-02,Facebook,Caminho Francês,Premium,1,Fevereiro,R$ 11.461,Sem resposta,,,
000130,2023-08-11,Instagram,Via Francigena,Premium,1,Junho,R$ 11.347,Fechado,2023-09-08,28,R$ 12.516
000131,2026-03-27,YouTube,Caminho Primitivo,Guiado,2,Fevereiro,R$ 19.996,Negociando,,,
000132,2020-11-12,YouTube,Caminho Primitivo,Guiado,4,Maio,R$ 47.043,Negociando,,,
000133,2022-01-25,Indicação,Caminho Português,Premium,4,Outubro,R$ 29.611,Negociando,,,
000134,2021-11-16,Instagram,Caminho do Norte,Guiado,2,Setembro,R$ 21.452,Perdido,,,
000135,2022-03-04,WhatsApp,Caminho Português,Premium,2,Janeiro,R$ 18.476,Negociando,,,
000136,2020-08-18,Instagram,Caminho Francês,Premium,1,Setembro,R$ 10.315,Perdido,,,
000137,2025-11-14,Indicação,Caminho Primitivo,Guiado,2,Dezembro,R$ 17.091,Sem resposta,,,
000138,2024-01-28,WhatsApp,Caminho do Norte,Guiado,2,Outubro,R$ 19.006,Negociando,,,
000139,2026-03-09,Indicação,Caminho Primitivo,Autoguiado,2,Agosto,R$ 16.933,Sem resposta,,,
000140,2024-02-04,Google,Via Francigena,Premium,1,Novembro,R$ 9.703,Perdido,,,
000141,2021-03-23,Instagram,Via Francigena,Premium,1,Novembro,R$ 9.539,Perdido,,,
000142,2020-08-19,Facebook,Caminho Português,Guiado,4,Julho,R$ 30.449,Negociando,,,
000143,2020-06-19,Instagram,Caminho Francês,Premium,2,Julho,R$ 18.100,Negociando,,,
000144,2020-09-02,YouTube,Caminho do Norte,Premium,2,Setembro,R$ 15.272,Perdido,,,
000145,2023-12-16,Indicação,Caminho Português,Guiado,1,Janeiro,R$ 7.352,Sem resposta,,,
000146,2021-08-13,TikTok,Caminho Francês,Autoguiado,3,Outubro,R$ 27.392,Perdido,,,
000147,2020-12-15,Instagram,Via Francigena,Premium,2,Outubro,R$ 22.665,Sem resposta,,,
000148,2022-12-28,Google,Caminho Francês,Guiado,4,Maio,R$ 50.498,Sem resposta,,,
000149,2025-08-18,Instagram,Caminho do Norte,Guiado,3,Fevereiro,R$ 33.267,Negociando,,,
000150,2021-03-30,WhatsApp,Caminho do Norte,Premium,2,Setembro,R$ 21.360,Negociando,,,
000151,2026-05-27,Indicação,Caminho Português,Autoguiado,2,Novembro,R$ 15.377,Fechado,2026-06-14,18,R$ 16.263
000152,2023-07-29,Google,Caminho Português,Guiado,5,Novembro,R$ 45.067,Negociando,,,
000153,2020-11-01,Instagram,Caminho do Norte,Premium,2,Novembro,R$ 14.430,Negociando,,,
000154,2022-12-25,Google,Via Francigena,Premium,2,Dezembro,R$ 18.051,Fechado,2023-01-11,17,R$ 17.481
000155,2024-04-22,YouTube,Caminho Francês,Guiado,1,Setembro,R$ 11.433,Fechado,2024-05-19,27,R$ 10.559
000156,2021-06-02,WhatsApp,Caminho Francês,Premium,1,Janeiro,R$ 11.055,Fechado,2021-06-15,13,R$ 11.496
000157,2024-05-25,Google,Caminho Primitivo,Premium,3,Maio,R$ 25.690,Fechado,2024-06-12,18,R$ 26.766
000158,2020-11-18,YouTube,Caminho Português,Guiado,2,Setembro,R$ 18.184,Fechado,2020-12-07,19,R$ 16.955
000159,2022-12-17,Google,Caminho Português,Guiado,3,Outubro,R$ 19.292,Negociando,,,
000160,2021-09-27,Facebook,Caminho do Norte,Guiado,4,Outubro,R$ 32.097,Negociando,,,
000161,2020-04-04,Instagram,Caminho do Norte,Autoguiado,3,Outubro,R$ 19.338,Fechado,2020-04-15,11,R$ 19.324
000162,2021-11-03,TikTok,Caminho do Norte,Autoguiado,2,Setembro,R$ 12.297,Negociando,,,
000163,2023-11-24,YouTube,Caminho do Norte,Premium,5,Setembro,R$ 42.383,Negociando,,,
000164,2024-12-27,YouTube,Caminho Português,Premium,4,Agosto,R$ 29.735,Fechado,2025-01-15,19,R$ 29.760
000165,2022-05-23,Facebook,Caminho Primitivo,Guiado,5,Março,R$ 46.407,Negociando,,,
000166,2024-11-06,Indicação,Caminho Português,Premium,1,Outubro,R$ 6.391,Negociando,,,
000167,2023-12-30,Facebook,Caminho Francês,Autoguiado,3,Dezembro,R$ 26.514,Sem resposta,,,
000168,2022-11-06,Google,Caminho do Norte,Autoguiado,1,Janeiro,R$ 6.969,Negociando,,,
000169,2025-03-28,Instagram,Via Francigena,Autoguiado,2,Fevereiro,R$ 15.576,Sem resposta,,,
000170,2024-08-16,Instagram,Caminho do Norte,Guiado,1,Junho,R$ 10.709,Negociando,,,
000171,2026-08-22,WhatsApp,Caminho Português,Autoguiado,2,Janeiro,R$ 15.292,Sem resposta,,,
000172,2023-11-12,WhatsApp,Caminho Primitivo,Premium,2,Fevereiro,R$ 20.302,Fechado,2023-12-11,29,R$ 19.613
000173,2020-06-02,Instagram,Caminho Primitivo,Autoguiado,1,Agosto,R$ 9.631,Perdido,,,
000174,2024-04-29,YouTube,Caminho Francês,Autoguiado,1,Abril,R$ 7.767,Negociando,,,
000175,2023-05-17,Facebook,Caminho do Norte,Premium,2,Agosto,R$ 19.257,Fechado,2023-06-12,26,R$ 18.461
000176,2022-09-30,TikTok,Caminho do Norte,Autoguiado,5,Julho,R$ 34.111,Perdido,,,
000177,2025-01-24,WhatsApp,Caminho do Norte,Guiado,1,Julho,R$ 9.888,Negociando,,,
000178,2023-11-21,Google,Caminho Português,Guiado,4,Dezembro,R$ 24.993,Sem resposta,,,
000179,2021-11-28,Indicação,Caminho do Norte,Guiado,1,Agosto,R$ 10.304,Sem resposta,,,
000180,2025-06-23,WhatsApp,Via Francigena,Autoguiado,3,Dezembro,R$ 23.214,Negociando,,,
000181,2021-02-07,Instagram,Caminho Português,Guiado,1,Outubro,R$ 7.655,Negociando,,,
000182,2025-01-22,Facebook,Caminho Francês,Guiado,3,Junho,R$ 27.024,Fechado,2025-02-04,13,R$ 30.193
000183,2022-05-19,Google,Caminho do Norte,Guiado,2,Julho,R$ 20.470,Sem resposta,,,
000184,2022-01-01,Indicação,Caminho Português,Guiado,1,Maio,R$ 9.531,Sem resposta,,,
000185,2020-04-02,TikTok,Caminho Francês,Autoguiado,4,Novembro,R$ 28.271,Fechado,2020-04-16,14,R$ 26.030
000186,2025-08-23,Indicação,Caminho do Norte,Guiado,2,Fevereiro,R$ 20.176,Perdido,,,
000187,2020-02-03,YouTube,Caminho Francês,Premium,5,Setembro,R$ 63.635,Fechado,2020-03-04,30,R$ 65.179
000188,2020-01-02,YouTube,Caminho Português,Guiado,4,Agosto,R$ 35.359,Fechado,2020-01-15,13,R$ 37.509
000189,2026-10-05,WhatsApp,Caminho do Norte,Premium,3,Novembro,R$ 21.593,Negociando,,,
000190,2025-09-18,TikTok,Via Francigena,Autoguiado,4,Julho,R$ 37.383,Fechado,2025-10-05,17,R$ 38.409
000191,2020-11-19,WhatsApp,Caminho Primitivo,Autoguiado,2,Setembro,R$ 12.996,Negociando,,,
000192,2020-08-06,Google,Caminho Francês,Premium,1,Junho,R$ 9.385,Sem resposta,,,
000193,2022-12-12,TikTok,Caminho Primitivo,Autoguiado,2,Janeiro,R$ 17.452,Perdido,,,
000194,2023-11-15,YouTube,Caminho do Norte,Premium,1,Outubro,R$ 7.427,Negociando,,,
000195,2020-01-19,Instagram,Caminho Português,Autoguiado,2,Agosto,R$ 12.167,Negociando,,,
000196,2024-01-22,Google,Via Francigena,Guiado,3,Novembro,R$ 34.981,Negociando,,,
000197,2022-02-24,Google,Caminho Português,Autoguiado,2,Março,R$ 13.059,Negociando,,,
000198,2021-12-16,Instagram,Caminho do Norte,Autoguiado,3,Dezembro,R$ 18.955,Sem resposta,,,
000199,2026-01-22,Facebook,Caminho do Norte,Premium,4,Julho,R$ 41.932,Perdido,,,
000200,2026-02-13,Google,Via Francigena,Guiado,2,Janeiro,R$ 23.634,Negociando,,,
000201,2021-06-22,TikTok,Caminho do Norte,Guiado,1,Junho,R$ 11.304,Perdido,,,
000202,2026-09-04,WhatsApp,Caminho Português,Premium,3,Setembro,R$ 27.551,Negociando,,,
000203,2021-10-08,YouTube,Caminho Primitivo,Guiado,2,Maio,R$ 18.732,Sem resposta,,,
000204,2021-09-26,Google,Caminho Francês,Guiado,1,Abril,R$ 10.247,Negociando,,,
000205,2025-08-24,YouTube,Via Francigena,Autoguiado,1,Outubro,R$ 9.814,Negociando,,,
000206,2026-12-25,Facebook,Via Francigena,Premium,4,Fevereiro,R$ 33.580,Negociando,,,
000207,2022-01-04,Google,Via Francigena,Premium,2,Fevereiro,R$ 17.170,Negociando,,,
000208,2026-12-19,Indicação,Caminho Português,Autoguiado,1,Junho,R$ 6.768,Fechado,2026-12-22,3,R$ 6.259
000209,2024-07-09,Google,Caminho Francês,Guiado,3,Novembro,R$ 34.309,Negociando,,,
000210,2020-01-01,TikTok,Caminho Português,Premium,2,Setembro,R$ 12.606,Fechado,2020-02-02,32,R$ 12.013
000211,2024-11-09,YouTube,Caminho Francês,Premium,2,Setembro,R$ 21.235,Negociando,,,
000212,2024-10-10,Facebook,Caminho Francês,Guiado,1,Abril,R$ 12.569,Sem resposta,,,
000213,2024-10-26,Instagram,Caminho do Norte,Premium,3,Agosto,R$ 33.440,Fechado,2024-11-29,34,R$ 34.069
000214,2020-10-12,TikTok,Caminho Português,Autoguiado,4,Dezembro,R$ 29.272,Sem resposta,,,
000215,2026-07-31,Instagram,Caminho Primitivo,Guiado,2,Fevereiro,R$ 18.623,Sem resposta,,,
000216,2022-06-17,Instagram,Caminho do Norte,Autoguiado,3,Junho,R$ 24.331,Negociando,,,
000217,2020-04-27,WhatsApp,Via Francigena,Premium,2,Abril,R$ 23.243,Perdido,,,
000218,2020-10-04,TikTok,Via Francigena,Guiado,4,Dezembro,R$ 35.018,Perdido,,,
000219,2026-01-24,Facebook,Caminho do Norte,Premium,2,Janeiro,R$ 21.864,Sem resposta,,,
000220,2022-04-18,Facebook,Caminho Francês,Guiado,1,Agosto,R$ 11.837,Fechado,2022-05-19,31,R$ 12.670
000221,2021-08-03,Facebook,Caminho Francês,Autoguiado,1,Junho,R$ 10.136,Fechado,2021-08-16,13,R$ 10.305
000222,2025-04-11,Indicação,Caminho Português,Guiado,2,Dezembro,R$ 18.064,Perdido,,,
000223,2020-05-12,YouTube,Caminho Português,Premium,3,Setembro,R$ 19.338,Perdido,,,
000224,2026-08-11,YouTube,Via Francigena,Guiado,1,Julho,R$ 7.892,Fechado,2026-08-17,6,R$ 8.618
000225,2026-11-09,YouTube,Caminho Francês,Guiado,2,Fevereiro,R$ 20.928,Negociando,,,
000226,2026-04-08,Instagram,Caminho Português,Premium,1,Agosto,R$ 9.075,Negociando,,,
000227,2026-07-14,Facebook,Caminho do Norte,Autoguiado,1,Dezembro,R$ 7.918,Negociando,,,
000228,2022-08-02,Indicação,Caminho Francês,Premium,3,Fevereiro,R$ 34.551,Sem resposta,,,
000229,2025-06-08,Google,Caminho Português,Autoguiado,1,Junho,R$ 6.031,Fechado,2025-06-20,12,R$ 6.354
000230,2022-09-07,YouTube,Caminho do Norte,Guiado,3,Outubro,R$ 31.371,Fechado,2022-10-03,26,R$ 29.154
000231,2025-02-05,Google,Caminho Português,Guiado,2,Abril,R$ 17.755,Negociando,,,
000232,2022-09-21,Facebook,Caminho Português,Autoguiado,2,Dezembro,R$ 15.765,Perdido,,,
000233,2023-05-28,Facebook,Caminho Primitivo,Premium,1,Novembro,R$ 8.997,Fechado,2023-05-30,2,R$ 10.063
000234,2026-05-17,TikTok,Caminho do Norte,Premium,1,Outubro,R$ 10.604,Perdido,,,
000235,2020-07-28,Google,Caminho Francês,Guiado,3,Junho,R$ 32.957,Fechado,2020-09-01,35,R$ 30.964
000236,2023-05-31,Facebook,Caminho Francês,Premium,1,Janeiro,R$ 10.593,Negociando,,,
000237,2026-11-19,Facebook,Caminho Francês,Autoguiado,2,Dezembro,R$ 14.868,Negociando,,,
000238,2023-04-11,Indicação,Via Francigena,Guiado,4,Setembro,R$ 34.336,Sem resposta,,,
000239,2020-01-06,Facebook,Caminho Primitivo,Guiado,1,Agosto,R$ 8.551,Negociando,,,
000240,2020-08-13,Indicação,Caminho do Norte,Autoguiado,1,Fevereiro,R$ 6.592,Sem resposta,,,
000241,2023-09-21,Google,Via Francigena,Guiado,4,Outubro,R$ 39.070,Negociando,,,
000242,2021-04-19,YouTube,Via Francigena,Premium,3,Maio,R$ 26.858,Negociando,,,
000243,2026-05-17,Instagram,Caminho Francês,Premium,2,Junho,R$ 17.238,Fechado,2026-06-07,21,R$ 18.565
000244,2023-12-25,Google,Via Francigena,Autoguiado,1,Maio,R$ 8.063,Negociando,,,
000245,2024-06-21,Indicação,Caminho Primitivo,Premium,3,Junho,R$ 29.696,Perdido,,,
000246,2025-01-10,Indicação,Caminho Primitivo,Premium,4,Junho,R$ 31.372,Fechado,2025-02-04,25,R$ 33.440
000247,2026-12-11,TikTok,Caminho do Norte,Autoguiado,1,Abril,R$ 7.477,Fechado,2026-12-22,11,R$ 7.689
000248,2025-10-18,TikTok,Caminho do Norte,Autoguiado,2,Outubro,R$ 18.803,Negociando,,,
000249,2026-05-26,YouTube,Caminho Primitivo,Autoguiado,1,Abril,R$ 8.359,Perdido,,,
000250,2025-02-19,TikTok,Caminho Primitivo,Autoguiado,2,Agosto,R$ 15.334,Negociando,,,
