id_reserva,data_reserva,id_cliente,roteiro,modalidade,n_pessoas,mes_viagem,valor_total_R$,custo_operacional_R$,canal_origem,status
RES000019,2023-12-06,CLI029516,Via Francigena,Guiado,6,Dezembro,78086,46650,TikTok,Concluída
RES000020,2023-10-05,CLI009204,Caminho Francês,Guiado,1,Outubro,13843,10126,Instagram,Cancelada
RES000021,2024-03-28,CLI029553,Caminho Francês,Premium,1,Março,13919,9065,YouTube,Concluída
RES000022,2025-01-24,CLI020303,Via Francigena,Guiado,2,Janeiro,34662,25500,Google,Concluída
RES000023,2021-08-06,CLI025788,Caminho do Norte,Guiado,1,Agosto,13467,9773,Google,Concluída
RES000024,2026-01-19,CLI003237,Caminho Primitivo,Autoguiado,2,Janeiro,24807,14636,Facebook,Concluída
RES000025,2026-05-23,CLI013639,Caminho Primitivo,Premium,2,Maio,30417,17839,TikTok,Concluída
RES000026,2024-08-22,CLI003427,Caminho do Norte,Autoguiado,2,Agosto,25912,16789,Indicação,Concluída
RES000027,2025-07-21,CLI002872,Caminho Francês,Guiado,5,Julho,96853,73789,YouTube,Concluída
RES000028,2022-02-14,CLI018191,Caminho Francês,Premium,4,Fevereiro,69376,47955,Google,Concluída
RES000029,2020-01-28,CLI014910,Via Francigena,Guiado,2,Janeiro,34004,23027,Google,Concluída
RES000030,2026-02-03,CLI027352,Caminho do Norte,Autoguiado,2,Fevereiro,21139,12391,Facebook,Concluída
RES000031,2025-04-15,CLI018726,Caminho do Norte,Autoguiado,1,Abril,12922,7931,Google,Concluída
RES000032,2024-11-02,CLI029225,Caminho do Norte,Premium,2,Novembro,33492,21353,YouTube,Concluída
RES000033,2026-04-27,CLI001489,Via Francigena,Guiado,2,Abril,26775,18114,Indicação,Concluída
RES000034,2022-01-08,CLI007035,Caminho Português,Guiado,3,Janeiro,39432,28128,Facebook,Concluída
RES000035,2021-12-18,CLI022666,Caminho Francês,Autoguiado,3,Dezembro,50230,35230,Indicação,Concluída
RES000036,2025-02-01,CLI012825,Caminho Português,Premium,3,Fevereiro,32243,21818,Google,Concluída
RES000037,2026-07-01,CLI007868,Via Francigena,Premium,2,Julho,40966,25065,Facebook,Concluída
RES000038,2025-10-03,CLI004850,Via Francigena,Autoguiado,3,Outubro,29251,20980,Facebook,Concluída
RES000039,2020-06-05,CLI017940,Caminho Francês,Guiado,3,Junho,49737,32469,Facebook,Concluída
RES000040,2024-03-27,CLI003462,Caminho do Norte,Guiado,3,Março,40812,28807,Instagram,Concluída
RES000041,2025-04-23,CLI017786,Caminho Primitivo,Guiado,3,Abril,39002,29269,Indicação,Concluída
RES000042,2024-05-26,CLI004290,Caminho do Norte,Autoguiado,4,Maio,43384,29093,Facebook,Concluída
RES000043,2021-07-29,CLI017172,Via Francigena,Premium,4,Julho,74920,57573,TikTok,Concluída
RES000044,2026-04-10,CLI007131,Caminho Português,Premium,2,Abril,22419,15343,YouTube,Concluída
RES000045,2024-08-20,CLI003791,Caminho Português,Autoguiado,2,Agosto,24317,17224,WhatsApp,Concluída
RES000046,2020-12-19,CLI001784,Caminho do Norte,Guiado,1,Dezembro,12754,8088,Indicação,Concluída
RES000047,2021-03-12,CLI006861,Caminho do Norte,Autoguiado,3,Março,30984,22077,Facebook,Concluída
RES000048,2021-08-30,CLI022025,Caminho do Norte,Autoguiado,3,Agosto,42420,26235,WhatsApp,Concluída
RES000049,2021-12-20,CLI018572,Caminho do Norte,Premium,2,Dezembro,39849,27094,TikTok,Cancelada
RES000050,2026-09-30,CLI000781,Caminho Primitivo,Guiado,5,Setembro,84402,56505,Instagram,Concluída
RES000051,2021-06-23,CLI016700,Caminho Francês,Guiado,1,Junho,15781,11515,TikTok,Concluída
RES000052,2021-03-22,CLI017371,Via Francigena,Autoguiado,4,Março,53523,35235,Google,Concluída
RES000053,2026-05-07,CLI000813,Caminho Português,Autoguiado,3,Maio,29040,18987,Facebook,Concluída
RES000054,2021-12-26,CLI023925,Caminho do Norte,Premium,2,Dezembro,43185,30515,Instagram,Concluída
RES000055,2024-08-23,CLI010413,Caminho Primitivo,Autoguiado,2,Agosto,26444,16672,Indicação,Concluída
RES000056,2026-06-20,CLI003342,Caminho do Norte,Autoguiado,3,Junho,36205,22388,Facebook,Concluída
RES000057,2023-02-12,CLI028019,Via Francigena,Premium,3,Fevereiro,41549,30398,Instagram,Concluída
RES000058,2024-01-19,CLI025547,Caminho Português,Autoguiado,1,Janeiro,7708,5920,Google,Concluída
RES000059,2023-11-20,CLI001712,Via Francigena,Guiado,2,Novembro,30718,18581,WhatsApp,Concluída
RES000060,2020-11-23,CLI026971,Caminho Francês,Premium,2,Novembro,29115,21181,TikTok,Concluída
RES000061,2023-11-26,CLI003562,Via Francigena,Autoguiado,1,Novembro,14115,9959,Google,Concluída
RES000062,2024-11-20,CLI014274,Caminho Português,Autoguiado,2,Novembro,22809,16166,Instagram,Concluída
RES000063,2025-11-06,CLI011050,Caminho Primitivo,Autoguiado,4,Novembro,50688,38697,WhatsApp,Concluída
RES000064,2026-02-18,CLI022816,Caminho Português,Premium,1,Fevereiro,14945,9891,Indicação,Concluída
RES000065,2020-08-12,CLI028447,Caminho Francês,Autoguiado,4,Agosto,49758,30494,TikTok,Concluída
RES000066,2020-05-07,CLI006576,Via Francigena,Premium,2,Maio,29784,20694,WhatsApp,Concluída
RES000067,2021-02-06,CLI011792,Caminho Primitivo,Autoguiado,2,Fevereiro,25566,17374,Instagram,Concluída
RES000068,2025-04-06,CLI002649,Caminho Primitivo,Autoguiado,4,Abril,49614,37182,Facebook,Concluída
RES000069,2023-10-26,CLI021710,Caminho Português,Guiado,5,Outubro,71656,46193,TikTok,Concluída
RES000070,2024-11-28,CLI011996,Caminho Primitivo,Premium,4,Novembro,72936,43948,Facebook,Concluída
RES000071,2024-11-07,CLI025762,Caminho Francês,Guiado,3,Novembro,42580,29217,WhatsApp,Concluída
RES000072,2025-12-17,CLI027635,Caminho do Norte,Premium,6,Dezembro,109539,64488,WhatsApp,Concluída
RES000073,2020-07-09,CLI000822,Caminho do Norte,Premium,2,Julho,39849,28291,Indicação,Concluída
RES000074,2026-10-02,CLI025195,Caminho Francês,Autoguiado,3,Outubro,40576,27745,Indicação,Concluída
RES000075,2024-11-14,CLI017044,Caminho Primitivo,Premium,2,Novembro,34955,25391,WhatsApp,Concluída
RES000076,2021-11-29,CLI028176,Caminho Primitivo,Premium,1,Novembro,18990,14141,WhatsApp,Concluída
RES000077,2024-12-31,CLI010687,Caminho Português,Guiado,4,Dezembro,43695,31932,Facebook,Reagendada
RES000078,2023-07-12,CLI004595,Caminho Francês,Guiado,2,Julho,27575,16119,Indicação,Concluída
RES000079,2025-03-11,CLI029588,Caminho Francês,Autoguiado,2,Março,21916,16055,TikTok,Concluída
RES000080,2023-10-08,CLI022797,Caminho do Norte,Premium,2,Outubro,26908,18470,Indicação,Concluída
RES000081,2021-11-03,CLI017360,Caminho Francês,Guiado,2,Novembro,30485,23466,TikTok,Cancelada
RES000082,2025-01-04,CLI029237,Via Francigena,Guiado,1,Janeiro,15030,8725,Facebook,Concluída
RES000083,2026-11-15,CLI011403,Caminho Primitivo,Autoguiado,2,Novembro,24807,16152,YouTube,Concluída
RES000084,2020-05-09,CLI025180,Via Francigena,Premium,2,Maio,33628,26085,WhatsApp,Reagendada
RES000085,2022-08-01,CLI026781,Caminho do Norte,Guiado,5,Agosto,72685,42739,TikTok,Reagendada
RES000086,2021-06-18,CLI029433,Caminho Português,Autoguiado,2,Junho,19261,12882,Indicação,Concluída
RES000087,2026-08-31,CLI027764,Caminho do Norte,Premium,3,Agosto,59774,40968,YouTube,Concluída
RES000088,2021-04-21,CLI026047,Caminho Português,Premium,3,Abril,32587,22405,Facebook,Concluída
RES000089,2026-06-08,CLI002421,Caminho do Norte,Guiado,2,Junho,34064,20927,Instagram,Concluída
RES000090,2026-09-11,CLI011959,Via Francigena,Autoguiado,2,Setembro,26048,18834,Facebook,Concluída
RES000091,2021-01-14,CLI015188,Caminho Francês,Guiado,3,Janeiro,45728,27331,Facebook,Concluída
RES000092,2024-11-05,CLI011629,Caminho Primitivo,Premium,5,Novembro,66588,43618,Instagram,Concluída
RES000093,2026-09-13,CLI025280,Caminho Francês,Guiado,2,Setembro,35382,27048,Facebook,Concluída
RES000094,2025-10-03,CLI010904,Caminho Primitivo,Premium,2,Outubro,25878,15501,YouTube,Concluída
RES000095,2020-07-11,CLI022927,Caminho Francês,Premium,3,Julho,62382,44206,WhatsApp,Concluída
RES000096,2025-04-02,CLI003160,Caminho Português,Autoguiado,1,Abril,8694,5509,WhatsApp,Concluída
RES000097,2020-04-07,CLI016262,Caminho Primitivo,Premium,3,Abril,49029,37075,YouTube,Concluída
RES000098,2020-10-06,CLI026845,Via Francigena,Premium,4,Outubro,62644,37502,Facebook,Concluída
RES000099,2022-02-07,CLI013720,Caminho Francês,Guiado,2,Fevereiro,34207,25880,Facebook,Reagendada
RES000100,2025-11-26,CLI004286,Caminho Francês,Guiado,1,Novembro,16991,11602,TikTok,Concluída
RES000101,2023-07-05,CLI004951,Caminho Francês,Autoguiado,2,Julho,24879,15322,TikTok,Concluída
RES000102,2024-11-15,CLI001482,Caminho Português,Guiado,4,Novembro,53763,36876,WhatsApp,Concluída
RES000103,2020-06-12,CLI008922,Via Francigena,Guiado,5,Junho,74437,47319,TikTok,Concluída
RES000104,2021-04-02,CLI024702,Caminho Português,Guiado,1,Abril,13440,8478,Facebook,Concluída
RES000105,2023-07-21,CLI006337,Caminho Primitivo,Guiado,4,Julho,62232,37517,Google,Concluída
RES000106,2026-02-06,CLI004349,Caminho do Norte,Guiado,2,Fevereiro,20228,12038,Instagram,Concluída
RES000107,2024-10-25,CLI001635,Caminho Francês,Autoguiado,5,Outubro,60368,35818,Facebook,Concluída
RES000108,2026-09-11,CLI014172,Caminho Francês,Guiado,3,Setembro,45728,35440,Indicação,Concluída
RES000109,2025-02-01,CLI004547,Caminho do Norte,Premium,3,Fevereiro,43660,31178,TikTok,Concluída
RES000110,2024-07-30,CLI005579,Via Francigena,Autoguiado,2,Julho,32804,22566,Google,Concluída
RES000111,2023-03-29,CLI027084,Via Francigena,Autoguiado,3,Março,36336,26605,Indicação,Concluída
RES000112,2021-10-28,CLI024808,Caminho Francês,Autoguiado,4,Outubro,56425,35948,TikTok,Reagendada
RES000113,2026-09-23,CLI015294,Caminho Francês,Autoguiado,2,Setembro,21243,14361,TikTok,Concluída
RES000114,2020-07-27,CLI005378,Caminho do Norte,Premium,3,Julho,58523,36202,TikTok,Concluída
RES000115,2026-06-08,CLI007791,Via Francigena,Guiado,2,Junho,26778,18501,Facebook,Concluída
RES000116,2024-02-03,CLI016838,Via Francigena,Guiado,3,Fevereiro,40102,26426,WhatsApp,Cancelada
RES000117,2026-04-30,CLI017925,Via Francigena,Premium,2,Abril,40548,30136,WhatsApp,Cancelada
RES000118,2020-03-11,CLI005182,Caminho Primitivo,Autoguiado,4,Março,52132,32324,Instagram,Concluída
RES000119,2021-10-17,CLI011737,Caminho Primitivo,Autoguiado,4,Outubro,56056,32529,TikTok,Cancelada
RES000120,2022-04-10,CLI012185,Via Francigena,Autoguiado,6,Abril,65049,41261,YouTube,Concluída
RES000121,2020-01-30,CLI009121,Caminho Português,Autoguiado,2,Janeiro,20345,13580,WhatsApp,Concluída
RES000122,2023-08-14,CLI015800,Caminho Francês,Guiado,2,Agosto,33956,23265,YouTube,Concluída
RES000123,2025-06-14,CLI009428,Caminho Francês,Premium,3,Junho,67980,40717,TikTok,Cancelada
RES000124,2022-08-16,CLI027137,Caminho do Norte,Guiado,3,Agosto,45750,32704,YouTube,Concluída
RES000125,2020-12-20,CLI008264,Caminho Português,Premium,3,Dezembro,41899,30423,Instagram,Concluída
RES000126,2024-09-10,CLI004305,Via Francigena,Autoguiado,2,Setembro,28776,20061,YouTube,Concluída
RES000127,2023-09-16,CLI000483,Caminho Primitivo,Guiado,2,Setembro,32467,20380,WhatsApp,Concluída
RES000128,2025-07-29,CLI023970,Caminho Francês,Premium,3,Julho,59583,45616,Instagram,Concluída
RES000129,2024-01-28,CLI025050,Caminho Primitivo,Premium,3,Janeiro,42222,28885,TikTok,Concluída
RES000130,2023-02-28,CLI019711,Caminho Primitivo,Guiado,2,Fevereiro,28992,19942,YouTube,Concluída
RES000131,2022-02-07,CLI026043,Caminho do Norte,Autoguiado,2,Fevereiro,17759,13570,Facebook,Concluída
RES000132,2022-03-03,CLI026705,Via Francigena,Guiado,3,Março,40102,25561,WhatsApp,Concluída
RES000133,2024-01-14,CLI002202,Caminho do Norte,Premium,2,Janeiro,37882,26917,TikTok,Concluída
RES000134,2022-12-24,CLI010624,Via Francigena,Premium,4,Dezembro,60897,47254,YouTube,Concluída
RES000135,2025-03-19,CLI023832,Caminho Primitivo,Premium,1,Março,13440,7954,Instagram,Concluída
RES000136,2020-04-11,CLI010120,Caminho Português,Autoguiado,2,Abril,15417,9753,Indicação,Reagendada
RES000137,2023-10-25,CLI015679,Caminho Português,Guiado,2,Outubro,23320,15982,Facebook,Concluída
RES000138,2022-09-13,CLI008077,Caminho Francês,Autoguiado,4,Setembro,44809,27249,Instagram,Concluída
RES000139,2023-02-18,CLI020215,Caminho Português,Premium,4,Fevereiro,61073,35426,TikTok,Concluída
RES000140,2025-02-27,CLI004002,Caminho Francês,Autoguiado,2,Fevereiro,18675,11358,Facebook,Concluída
RES000141,2024-02-13,CLI014962,Via Francigena,Premium,1,Fevereiro,13849,10761,WhatsApp,Concluída
RES000142,2020-01-21,CLI006950,Caminho Português,Guiado,2,Janeiro,23913,17427,Instagram,Concluída
RES000143,2025-10-23,CLI025453,Caminho Francês,Premium,2,Outubro,43028,29790,YouTube,Concluída
RES000144,2026-01-02,CLI015695,Via Francigena,Autoguiado,6,Janeiro,76507,52211,WhatsApp,Concluída
RES000145,2022-07-23,CLI010198,Via Francigena,Premium,3,Julho,65393,43850,Google,Concluída
RES000146,2025-11-14,CLI008052,Via Francigena,Autoguiado,3,Novembro,42345,27128,Indicação,Concluída
RES000147,2024-09-25,CLI026349,Caminho Português,Autoguiado,4,Setembro,30835,20741,YouTube,Concluída
RES000148,2021-08-09,CLI013178,Caminho Primitivo,Guiado,2,Agosto,37013,24905,WhatsApp,Concluída
RES000149,2023-05-31,CLI026061,Caminho Português,Guiado,1,Maio,13440,9304,Google,Concluída
RES000150,2026-12-06,CLI010303,Caminho do Norte,Guiado,3,Dezembro,51097,36082,Google,Concluída
RES000151,2024-07-22,CLI016519,Caminho Português,Guiado,3,Julho,46982,30664,Indicação,Concluída
RES000152,2023-01-19,CLI019819,Caminho Francês,Autoguiado,3,Janeiro,45804,29763,WhatsApp,Concluída
RES000153,2022-01-22,CLI014445,Caminho Português,Autoguiado,2,Janeiro,21331,12881,Google,Concluída
RES000154,2021-02-17,CLI017187,Caminho do Norte,Guiado,2,Fevereiro,20810,15077,YouTube,Concluída
RES000155,2022-09-23,CLI009777,Caminho do Norte,Premium,3,Setembro,56823,33297,Indicação,Cancelada
RES000156,2020-06-19,CLI008096,Via Francigena,Guiado,6,Junho,111801,77027,TikTok,Concluída
RES000157,2025-03-01,CLI014430,Caminho Primitivo,Autoguiado,5,Março,65165,46906,Google,Concluída
RES000158,2026-06-03,CLI007192,Caminho do Norte,Autoguiado,2,Junho,26504,20304,TikTok,Concluída
RES000159,2024-02-02,CLI019515,Caminho Primitivo,Autoguiado,3,Fevereiro,30113,21032,Instagram,Concluída
RES000160,2021-10-06,CLI016786,Caminho Primitivo,Guiado,2,Outubro,32467,21723,Instagram,Cancelada
RES000161,2025-12-22,CLI009628,Caminho do Norte,Premium,2,Dezembro,29007,18920,TikTok,Concluída
RES000162,2020-10-14,CLI014836,Caminho do Norte,Guiado,2,Outubro,29256,17655,Indicação,Concluída
RES000163,2026-02-22,CLI017228,Caminho Primitivo,Autoguiado,2,Fevereiro,19076,13021,Google,Concluída
RES000164,2023-09-03,CLI001122,Caminho Francês,Premium,1,Setembro,19058,12805,YouTube,Reagendada
RES000165,2021-03-25,CLI015914,Caminho do Norte,Guiado,2,Março,27789,16307,Facebook,Concluída
RES000166,2022-10-14,CLI009992,Caminho Primitivo,Autoguiado,5,Outubro,60676,36122,TikTok,Concluída
RES000167,2025-02-27,CLI003058,Via Francigena,Guiado,4,Fevereiro,54692,37412,Google,Concluída
RES000168,2026-08-15,CLI000615,Caminho do Norte,Premium,2,Agosto,29007,18521,Facebook,Concluída
RES000169,2023-12-17,CLI008978,Caminho Primitivo,Guiado,3,Dezembro,48885,34739,Facebook,Concluída
RES000170,2025-12-03,CLI019706,Caminho do Norte,Autoguiado,4,Dezembro,51825,37126,Instagram,Concluída
RES000171,2024-07-19,CLI005437,Caminho Francês,Guiado,4,Julho,61531,39101,Google,Concluída
RES000172,2025-11-03,CLI005938,Caminho do Norte,Premium,2,Novembro,32029,23063,YouTube,Concluída
RES000173,2025-05-30,CLI027369,Caminho Português,Autoguiado,2,Maio,19852,13063,TikTok,Concluída
RES000174,2025-05-17,CLI025887,Caminho do Norte,Guiado,6,Maio,95272,71512,Facebook,Concluída
RES000175,2020-01-03,CLI026856,Caminho Português,Premium,3,Janeiro,49252,35018,Google,Concluída
RES000176,2023-08-03,CLI009427,Caminho Primitivo,Premium,2,Agosto,40711,28993,YouTube,Concluída
RES000177,2024-10-07,CLI003199,Via Francigena,Autoguiado,3,Outubro,34161,23135,Facebook,Concluída
RES000178,2023-07-20,CLI019364,Caminho do Norte,Autoguiado,6,Julho,90167,54912,Facebook,Concluída
RES000179,2026-08-23,CLI005802,Caminho Português,Guiado,3,Agosto,33786,23201,TikTok,Concluída
RES000180,2026-05-06,CLI013722,Via Francigena,Autoguiado,4,Maio,42275,27990,TikTok,Concluída
RES000181,2022-08-22,CLI023159,Caminho Francês,Premium,3,Agosto,59583,39647,Indicação,Concluída
RES000182,2026-02-19,CLI025425,Caminho Primitivo,Guiado,2,Fevereiro,22377,13974,WhatsApp,Concluída
RES000183,2020-09-07,CLI028244,Caminho Primitivo,Guiado,3,Setembro,48701,30983,YouTube,Concluída
RES000184,2026-11-02,CLI024900,Via Francigena,Premium,5,Novembro,68696,43018,YouTube,Concluída
RES000185,2023-09-17,CLI017119,Caminho Francês,Premium,4,Setembro,72961,49136,Indicação,Concluída
RES000186,2023-03-26,CLI029081,Caminho Francês,Premium,3,Março,56599,38585,Facebook,Concluída
RES000187,2025-01-08,CLI022701,Caminho Francês,Premium,2,Janeiro,42209,26785,WhatsApp,Concluída
RES000188,2020-07-27,CLI015094,Caminho Primitivo,Guiado,1,Julho,16295,9673,TikTok,Concluída
RES000189,2022-11-12,CLI002152,Caminho do Norte,Premium,1,Novembro,16746,12381,Google,Concluída
RES000190,2022-05-10,CLI015164,Caminho Primitivo,Autoguiado,1,Maio,12135,8946,Facebook,Concluída
RES000191,2026-06-24,CLI015292,Caminho Francês,Autoguiado,1,Junho,15750,11850,YouTube,Concluída
RES000192,2024-08-11,CLI007296,Caminho Primitivo,Guiado,3,Agosto,37828,21970,Facebook,Concluída
RES000193,2026-07-02,CLI004339,Caminho do Norte,Premium,2,Julho,41517,30059,TikTok,Concluída
RES000194,2021-08-07,CLI005463,Caminho Francês,Autoguiado,2,Agosto,31500,19134,WhatsApp,Concluída
RES000195,2021-08-28,CLI025308,Caminho Francês,Premium,3,Agosto,52585,37448,WhatsApp,Concluída
RES000196,2026-09-22,CLI015082,Via Francigena,Premium,2,Setembro,37472,22464,Facebook,Concluída
RES000197,2026-08-22,CLI008642,Via Francigena,Autoguiado,2,Agosto,21608,16012,Indicação,Concluída
RES000198,2023-09-23,CLI017685,Caminho Português,Premium,2,Setembro,27280,16523,Facebook,Concluída
RES000199,2021-07-16,CLI001230,Caminho do Norte,Autoguiado,2,Julho,23545,16617,Indicação,Concluída
RES000200,2024-04-20,CLI004477,Caminho Português,Premium,1,Abril,12251,7860,Google,Concluída
RES000201,2026-11-15,CLI003294,Caminho do Norte,Guiado,5,Novembro,63759,37810,WhatsApp,Concluída
RES000202,2022-09-07,CLI015487,Caminho Francês,Premium,2,Setembro,35662,22272,WhatsApp,Concluída
RES000203,2021-06-10,CLI025220,Caminho Francês,Guiado,4,Junho,79077,52528,Google,Concluída
RES000204,2021-08-02,CLI019895,Caminho Francês,Guiado,5,Agosto,78908,46308,YouTube,Concluída
RES000205,2026-01-24,CLI013702,Via Francigena,Premium,2,Janeiro,35166,20917,YouTube,Concluída
RES000206,2020-02-08,CLI003161,Caminho do Norte,Guiado,2,Fevereiro,26626,20756,WhatsApp,Concluída
RES000207,2022-04-01,CLI002287,Caminho Francês,Guiado,3,Abril,41530,29919,Google,Concluída
RES000208,2020-01-01,CLI019165,Caminho do Norte,Premium,1,Janeiro,14551,11119,WhatsApp,Cancelada
RES000209,2023-11-21,CLI002126,Via Francigena,Premium,3,Novembro,43524,32734,Google,Concluída
RES000210,2020-10-02,CLI020343,Caminho do Norte,Guiado,1,Outubro,11813,8670,WhatsApp,Concluída
RES000211,2022-03-04,CLI020750,Via Francigena,Guiado,1,Março,15812,11169,Facebook,Concluída
RES000212,2022-04-18,CLI013683,Caminho Primitivo,Autoguiado,3,Abril,37210,23524,TikTok,Concluída
RES000213,2026-05-30,CLI019157,Via Francigena,Autoguiado,2,Maio,27684,20672,TikTok,Concluída
RES000214,2020-09-14,CLI022536,Via Francigena,Autoguiado,3,Setembro,41527,28215,Facebook,Concluída
RES000215,2024-02-17,CLI003597,Via Francigena,Guiado,4,Fevereiro,59581,44533,Indicação,Concluída
RES000216,2022-10-14,CLI028523,Caminho Francês,Autoguiado,3,Outubro,45804,30332,YouTube,Concluída
RES000217,2020-10-08,CLI020129,Caminho Primitivo,Premium,5,Outubro,83607,59511,Indicação,Concluída
RES000218,2024-12-16,CLI018120,Caminho Francês,Premium,1,Dezembro,19394,14121,Indicação,Reagendada
RES000219,2024-02-04,CLI003415,Caminho Primitivo,Autoguiado,2,Fevereiro,20075,13887,TikTok,Concluída
RES000220,2023-06-14,CLI012659,Caminho Português,Autoguiado,1,Junho,13001,9460,TikTok,Concluída
RES000221,2022-11-25,CLI027306,Via Francigena,Premium,1,Novembro,17198,11641,TikTok,Cancelada
RES000222,2020-10-26,CLI019280,Caminho Francês,Premium,4,Outubro,86056,57039,Instagram,Concluída
RES000223,2024-05-28,CLI018789,Via Francigena,Autoguiado,1,Maio,14115,10763,Google,Concluída
RES000224,2024-01-24,CLI006013,Caminho Primitivo,Guiado,4,Janeiro,46830,30148,YouTube,Concluída
RES000225,2023-02-19,CLI003125,Caminho Português,Guiado,3,Fevereiro,35015,25597,Google,Cancelada
RES000226,2025-07-12,CLI024769,Caminho Primitivo,Autoguiado,2,Julho,25220,16015,Instagram,Concluída
RES000227,2020-10-14,CLI016007,Caminho do Norte,Premium,2,Outubro,29834,18148,WhatsApp,Concluída
RES000228,2021-05-10,CLI017581,Caminho do Norte,Guiado,1,Maio,15253,11224,Instagram,Concluída
RES000229,2023-07-27,CLI018678,Caminho Primitivo,Guiado,4,Julho,60758,42063,YouTube,Concluída
RES000230,2023-05-17,CLI027054,Caminho Francês,Autoguiado,5,Maio,56012,41642,Google,Concluída
RES000231,2020-09-08,CLI020326,Caminho Português,Autoguiado,1,Setembro,7708,5575,Google,Concluída
RES000232,2021-09-12,CLI011094,Via Francigena,Guiado,1,Setembro,15030,8879,WhatsApp,Concluída
RES000233,2022-04-14,CLI028751,Caminho do Norte,Guiado,3,Abril,44822,28117,YouTube,Concluída
RES000234,2021-02-27,CLI027577,Caminho Francês,Autoguiado,1,Fevereiro,10148,6665,Facebook,Reagendada
RES000235,2024-02-12,CLI013710,Caminho Francês,Premium,1,Fevereiro,14680,10744,WhatsApp,Concluída
RES000236,2024-07-18,CLI029298,Caminho Português,Premium,2,Julho,35848,25204,Google,Concluída
RES000237,2023-12-09,CLI025983,Caminho Português,Autoguiado,2,Dezembro,18137,11941,Facebook,Reagendada
RES000238,2023-01-01,CLI001570,Caminho Primitivo,Premium,1,Janeiro,16721,12577,TikTok,Concluída
RES000239,2022-11-21,CLI002259,Caminho Primitivo,Autoguiado,2,Novembro,19439,13261,Instagram,Cancelada
RES000240,2025-05-14,CLI017799,Caminho do Norte,Premium,2,Maio,28371,18519,Indicação,Concluída
RES000241,2025-02-24,CLI003620,Caminho Português,Guiado,1,Fevereiro,10291,7050,Google,Concluída
RES000242,2021-08-23,CLI012554,Caminho Francês,Premium,2,Agosto,35990,27224,Instagram,Concluída
RES000243,2025-07-22,CLI024248,Caminho Português,Premium,4,Julho,65364,44796,WhatsApp,Concluída
RES000244,2021-03-23,CLI025789,Caminho do Norte,Autoguiado,3,Março,24466,18976,Google,Reagendada
RES000245,2026-03-24,CLI010870,Caminho Primitivo,Premium,3,Março,42431,31772,Indicação,Concluída
RES000246,2020-04-13,CLI023176,Caminho do Norte,Premium,1,Abril,13088,7752,WhatsApp,Concluída
RES000247,2023-08-12,CLI011618,Via Francigena,Autoguiado,2,Agosto,27828,18857,Indicação,Cancelada
RES000248,2023-09-11,CLI016990,Caminho Português,Autoguiado,4,Setembro,43648,33168,YouTube,Concluída
RES000249,2021-10-12,CLI019226,Via Francigena,Guiado,4,Outubro,46979,29983,TikTok,Concluída
RES000250,2021-09-06,CLI005375,Caminho do Norte,Guiado,4,Setembro,56010,34967,TikTok,Concluída
RES000251,2026-09-07,CLI007395,Caminho do Norte,Premium,2,Setembro,37150,24766,Instagram,Concluída
RES000252,2020-07-20,CLI026293,Via Francigena,Autoguiado,5,Julho,69571,44605,WhatsApp,Concluída
RES000253,2024-08-14,CLI027399,Caminho Francês,Premium,2,Agosto,34124,25995,Indicação,Concluída
