id_cliente,Caminho Francês,Caminho Português,Caminho Primitivo,Caminho do Norte,Via Francigena
CLI000065,8.0,0.0,8.0,8.0,0.0
CLI000067,0.0,0.0,9.0,0.0,0.0
CLI000068,7.0,8.0,0.0,0.0,8.5
CLI000069,0.0,0.0,8.0,6.0,0.0
CLI000070,0.0,0.0,0.0,9.0,8.0
CLI000071,0.0,0.0,7.0,8.0,0.0
CLI000072,0.0,0.0,8.0,0.0,8.0
CLI000073,0.0,9.0,0.0,0.0,7.5
CLI000076,9.0,0.0,9.0,8.0,0.0
CLI000077,10.0,9.0,7.0,0.0,0.0
CLI000078,0.0,0.0,0.0,8.0,0.0
CLI000079,0.0,0.0,0.0,8.0,0.0
CLI000080,0.0,8.0,0.0,0.0,7.0
CLI000081,7.666666666666667,0.0,0.0,9.0,0.0
CLI000082,8.5,0.0,0.0,0.0,0.0
CLI000083,8.0,0.0,0.0,9.0,0.0
CLI000084,0.0,9.0,0.0,9.0,0.0
CLI000085,9.0,10.0,7.5,9.0,0.0
CLI000086,0.0,0.0,0.0,8.0,8.5
CLI000087,7.5,0.0,10.0,9.0,9.0
CLI000088,0.0,0.0,8.0,0.0,0.0
CLI000089,8.0,0.0,0.0,0.0,0.0
CLI000090,7.0,0.0,0.0,0.0,0.0
CLI000091,0.0,6.0,9.0,7.0,8.0
CLI000092,8.0,0.0,7.5,0.0,9.0
CLI000093,0.0,7.5,0.0,8.0,0.0
CLI000094,0.0,0.0,0.0,0.0,9.0
CLI000096,0.0,0.0,8.0,0.0,8.0
CLI000097,7.0,0.0,0.0,8.0,0.0
CLI000098,0.0,0.0,0.0,0.0,7.0
CLI000099,7.0,0.0,0.0,0.0,7.5
CLI000100,8.0,0.0,8.0,0.0,0.0
CLI000101,8.5,0.0,0.0,9.0,0.0
CLI000102,0.0,0.0,0.0,8.0,0.0
CLI000103,0.0,0.0,0.0,9.0,8.0
CLI000104,0.0,0.0,0.0,8.0,0.0
CLI000105,0.0,0.0,0.0,8.0,0.0
CLI000106,0.0,0.0,7.5,0.0,0.0
CLI000107,0.0,7.0,0.0,0.0,0.0
CLI000108,0.0,0.0,8.666666666666666,0.0,9.0
CLI000109,10.0,0.0,8.5,0.0,0.0
CLI000110,0.0,0.0,9.0,8.0,8.5
CLI000111,0.0,0.0,0.0,9.0,9.0
CLI000112,0.0,0.0,8.333333333333334,0.0,8.0
CLI000113,7.0,8.0,0.0,0.0,0.0
CLI000114,8.0,0.0,0.0,0.0,0.0
CLI000115,8.0,8.0,7.0,0.0,0.0
CLI000116,9.0,0.0,0.0,0.0,0.0
CLI000117,7.0,0.0,0.0,0.0,0.0
CLI000118,0.0,0.0,0.0,7.0,0.0
CLI000119,7.0,0.0,8.0,0.0,0.0
CLI000120,0.0,0.0,9.0,9.0,7.0
CLI000121,0.0,8.5,7.0,9.0,0.0
CLI000122,9.0,7.5,0.0,0.0,7.0
CLI000123,0.0,0.0,9.0,9.0,7.5
CLI000124,0.0,0.0,7.0,0.0,9.0
CLI000126,6.0,7.0,0.0,0.0,0.0
CLI000127,8.0,0.0,8.0,0.0,7.333333333333333
CLI000128,0.0,7.5,8.0,0.0,9.0
CLI000129,8.0,7.0,8.5,0.0,0.0
CLI000130,10.0,9.0,0.0,8.0,9.0
CLI000131,8.5,0.0,0.0,0.0,0.0
CLI000132,9.0,0.0,7.0,0.0,0.0
CLI000133,0.0,0.0,0.0,7.0,0.0
CLI000134,0.0,0.0,0.0,8.0,0.0
CLI000135,0.0,7.0,9.0,0.0,0.0
CLI000136,0.0,7.333333333333333,0.0,7.0,0.0
CLI000137,8.0,0.0,0.0,0.0,0.0
CLI000139,9.0,8.0,8.0,8.0,0.0
CLI000140,0.0,0.0,10.0,0.0,0.0
CLI000141,6.0,0.0,8.0,7.0,0.0
CLI000142,7.0,0.0,0.0,0.0,9.0
CLI000143,0.0,0.0,7.0,9.0,8.5
CLI000144,0.0,0.0,8.0,0.0,9.0
CLI000145,0.0,8.0,0.0,8.0,0.0
CLI000146,0.0,0.0,0.0,9.0,8.5
CLI000147,0.0,7.0,0.0,0.0,8.0
CLI000148,8.0,8.0,0.0,0.0,8.5
CLI000149,7.0,0.0,0.0,8.5,0.0
CLI000150,0.0,8.333333333333334,0.0,0.0,0.0
CLI000151,0.0,6.0,9.0,0.0,0.0
CLI000152,8.0,0.0,9.0,9.0,0.0
CLI000153,9.0,7.0,0.0,0.0,0.0
CLI000154,0.0,0.0,0.0,10.0,0.0
CLI000157,0.0,0.0,0.0,9.0,0.0
CLI000158,8.0,0.0,7.0,6.0,7.5
CLI000159,8.333333333333334,10.0,7.5,7.0,7.5
CLI000160,9.0,0.0,7.0,0.0,0.0
CLI000161,8.0,9.0,0.0,0.0,0.0
CLI000162,0.0,0.0,0.0,7.0,0.0
CLI000163,0.0,0.0,0.0,9.0,0.0
CLI000164,0.0,0.0,8.0,0.0,0.0
CLI000165,8.0,8.0,9.0,0.0,0.0
CLI000166,0.0,0.0,8.0,10.0,0.0
CLI000167,7.5,9.0,7.0,0.0,8.666666666666666
CLI000168,7.0,9.0,8.0,10.0,0.0
CLI000169,9.0,0.0,0.0,8.0,8.0
CLI000170,0.0,0.0,7.0,0.0,0.0
CLI000171,0.0,8.0,9.0,8.0,9.0
CLI000172,0.0,8.0,0.0,8.0,9.0
CLI000173,8.0,7.0,0.0,0.0,0.0
CLI000174,0.0,0.0,8.0,8.0,7.5
CLI000175,0.0,0.0,0.0,0.0,10.0
CLI000176,0.0,0.0,0.0,9.0,9.0
CLI000177,0.0,0.0,8.0,0.0,0.0
CLI000178,0.0,0.0,7.0,6.0,0.0
CLI000179,0.0,0.0,0.0,0.0,7.0
CLI000180,8.0,9.0,6.0,0.0,0.0
CLI000181,0.0,0.0,9.0,0.0,0.0
CLI000182,0.0,7.0,0.0,0.0,7.0
CLI000183,0.0,0.0,9.0,0.0,0.0
CLI000184,0.0,0.0,0.0,7.0,0.0
CLI000185,0.0,0.0,8.0,8.0,0.0
CLI000186,8.0,0.0,0.0,0.0,0.0
CLI000187,7.333333333333333,8.0,0.0,0.0,8.0
CLI000188,0.0,0.0,9.0,0.0,0.0
CLI000190,0.0,9.0,0.0,9.0,9.0
CLI000191,0.0,7.0,9.0,7.0,8.0
CLI000192,8.0,8.0,0.0,0.0,0.0
CLI000193,0.0,0.0,8.0,0.0,0.0
CLI000194,7.0,0.0,9.0,9.0,0.0
CLI000195,0.0,0.0,6.0,0.0,7.0
CLI000196,0.0,0.0,9.0,0.0,0.0
CLI000197,10.0,8.0,8.0,9.0,0.0
CLI000198,10.0,0.0,9.0,0.0,9.0
CLI000199,0.0,0.0,9.0,8.0,9.0
CLI000200,0.0,9.0,0.0,0.0,0.0
CLI000201,9.0,0.0,0.0,9.0,8.5
CLI000202,0.0,0.0,0.0,0.0,9.0
CLI000203,7.0,6.0,0.0,0.0,8.0
CLI000204,0.0,8.0,0.0,0.0,0.0
CLI000205,7.0,0.0,8.0,0.0,7.0
CLI000206,8.5,6.0,10.0,0.0,7.5
CLI000207,8.0,8.0,0.0,0.0,8.0
CLI000209,0.0,10.0,7.0,0.0,0.0
CLI000210,8.0,8.0,0.0,0.0,0.0
CLI000211,0.0,9.0,9.0,0.0,7.0
CLI000213,0.0,8.0,6.0,0.0,0.0
CLI000214,8.0,6.0,0.0,8.0,0.0
CLI000215,8.5,0.0,0.0,9.0,0.0
CLI000216,7.5,9.0,7.0,8.0,0.0
CLI000217,0.0,0.0,0.0,9.0,0.0
CLI000219,0.0,0.0,0.0,0.0,7.0
CLI000220,8.0,0.0,0.0,0.0,8.0
CLI000221,9.0,7.0,0.0,7.0,0.0
CLI000223,9.0,0.0,8.0,0.0,8.5
CLI000224,8.0,8.0,0.0,0.0,0.0
CLI000225,10.0,0.0,8.0,0.0,8.0
CLI000226,0.0,0.0,7.0,0.0,0.0
CLI000227,8.0,0.0,0.0,0.0,0.0
CLI000228,0.0,0.0,0.0,0.0,7.0
CLI000229,0.0,0.0,0.0,0.0,7.0
CLI000230,0.0,9.0,0.0,7.0,8.0
CLI000231,0.0,0.0,9.0,6.0,0.0
CLI000232,0.0,8.25,7.0,0.0,0.0
CLI000233,8.0,10.0,0.0,0.0,0.0
CLI000234,0.0,0.0,0.0,0.0,8.0
CLI000235,10.0,0.0,0.0,9.0,6.0
CLI000236,0.0,9.0,0.0,0.0,9.0
CLI000237,8.0,8.0,0.0,7.5,0.0
CLI000238,0.0,0.0,0.0,9.0,7.0
CLI000239,0.0,7.5,0.0,0.0,7.0
CLI000240,9.0,7.5,0.0,0.0,0.0
CLI000241,0.0,0.0,9.0,0.0,8.0
CLI000242,0.0,0.0,0.0,0.0,8.0
CLI000243,9.0,0.0,0.0,9.0,8.0
CLI000244,0.0,0.0,0.0,9.0,7.0
CLI000245,6.0,7.0,8.0,7.0,0.0
CLI000246,0.0,0.0,7.0,0.0,0.0
CLI000247,7.666666666666667,0.0,0.0,0.0,8.0
CLI000248,9.0,9.0,9.0,0.0,0.0
CLI000249,0.0,0.0,7.0,8.0,0.0
CLI000250,8.0,8.0,0.0,0.0,0.0
CLI000251,0.0,0.0,0.0,0.0,8.0
CLI000252,0.0,0.0,8.0,0.0,7.0
CLI000253,7.0,8.0,6.0,10.0,6.0
CLI000254,0.0,0.0,8.0,8.0,0.0
CLI000255,7.0,8.0,9.0,0.0,0.0
CLI000256,0.0,7.0,0.0,9.0,0.0
CLI000257,6.0,8.0,0.0,0.0,0.0
CLI000258,8.0,9.0,0.0,9.0,7.0
CLI000259,0.0,9.0,0.0,9.0,7.0
CLI000261,0.0,7.0,0.0,0.0,0.0
CLI000262,0.0,0.0,0.0,8.0,7.5
CLI000263,0.0,0.0,0.0,8.0,0.0
CLI000264,9.0,7.0,0.0,9.0,0.0
CLI000265,0.0,8.0,0.0,0.0,8.0
CLI000266,10.0,8.0,7.5,7.0,0.0
CLI000267,0.0,0.0,9.0,0.0,9.0
CLI000268,8.0,0.0,0.0,7.0,0.0
CLI000269,0.0,8.0,0.0,0.0,0.0
CLI000270,0.0,0.0,0.0,8.0,0.0
CLI000271,0.0,9.0,8.0,0.0,0.0
CLI000272,0.0,7.0,8.0,0.0,8.0
CLI000273,0.0,6.0,7.0,10.0,0.0
CLI000275,9.0,7.0,9.0,0.0,0.0
CLI000276,0.0,8.0,8.0,8.0,0.0
CLI000277,0.0,0.0,8.0,0.0,0.0
CLI000278,0.0,0.0,0.0,7.0,8.5
CLI000279,0.0,0.0,0.0,8.5,0.0
CLI000280,0.0,6.0,0.0,0.0,0.0
CLI000281,0.0,0.0,10.0,9.0,0.0
CLI000282,0.0,0.0,8.0,0.0,0.0
CLI000283,0.0,0.0,0.0,7.5,0.0
CLI000284,8.0,7.5,8.0,0.0,9.0
CLI000285,9.0,8.5,0.0,0.0,0.0
CLI000286,0.0,7.0,9.0,0.0,0.0
CLI000287,0.0,7.0,9.0,8.0,7.0
CLI000288,8.0,0.0,8.0,8.0,0.0
CLI000289,8.0,0.0,9.0,0.0,0.0
CLI000290,8.0,8.0,0.0,0.0,7.0
CLI000291,8.75,8.0,9.0,9.0,0.0
CLI000292,7.5,7.333333333333333,0.0,9.0,8.0
CLI000293,10.0,0.0,0.0,0.0,0.0
CLI000294,8.5,7.5,0.0,9.0,7.0
CLI000295,0.0,7.0,0.0,0.0,0.0
CLI000296,10.0,0.0,0.0,7.0,0.0
CLI000297,9.0,0.0,8.333333333333334,8.0,7.0
CLI000298,0.0,0.0,8.0,9.0,0.0
CLI000299,0.0,8.0,0.0,0.0,7.0
CLI000300,0.0,0.0,8.0,0.0,0.0
CLI000301,8.0,9.0,0.0,0.0,0.0
CLI000302,8.0,0.0,0.0,0.0,0.0
CLI000303,0.0,0.0,7.0,0.0,7.0
CLI000304,8.0,0.0,7.0,8.0,9.0
CLI000305,0.0,0.0,6.0,0.0,0.0
CLI000306,10.0,9.0,0.0,0.0,0.0
CLI000307,8.5,9.0,8.5,0.0,0.0
CLI000308,0.0,9.0,8.0,0.0,0.0
CLI000309,0.0,8.0,0.0,7.0,9.5
CLI000310,0.0,0.0,7.0,0.0,0.0
CLI000311,6.0,9.0,9.0,0.0,8.5
CLI000312,7.0,9.0,7.0,0.0,8.0
CLI000313,8.0,7.0,7.0,0.0,10.0
CLI000314,0.0,0.0,8.0,0.0,0.0
CLI000315,0.0,9.0,0.0,6.5,9.0
CLI000316,9.0,0.0,8.0,0.0,0.0
CLI000317,7.0,0.0,10.0,0.0,8.0
CLI000318,0.0,6.0,0.0,0.0,0.0
CLI000319,0.0,0.0,0.0,8.0,0.0
CLI000320,0.0,10.0,8.0,0.0,0.0
CLI000321,10.0,0.0,0.0,0.0,0.0
CLI000322,8.0,0.0,0.0,0.0,0.0
CLI000323,7.0,0.0,8.0,0.0,0.0
CLI000324,9.0,9.0,9.0,8.0,8.0
CLI000325,0.0,8.0,8.0,0.0,0.0
CLI000326,0.0,8.0,0.0,0.0,10.0
CLI000328,0.0,8.0,0.0,0.0,0.0
CLI000331,0.0,0.0,0.0,9.0,0.0
CLI000332,0.0,9.0,0.0,9.0,0.0
CLI000333,0.0,8.0,0.0,0.0,0.0
CLI000334,0.0,7.0,0.0,0.0,0.0
CLI000335,9.0,7.0,0.0,10.0,8.0
CLI000336,0.0,0.0,9.0,10.0,7.0
CLI000337,0.0,0.0,0.0,0.0,8.0
CLI000338,0.0,0.0,0.0,8.0,9.0
CLI000339,7.0,0.0,8.0,9.0,0.0
CLI000340,0.0,6.0,0.0,7.0,0.0
CLI000341,8.0,0.0,9.0,0.0,7.5
CLI000342,0.0,0.0,0.0,0.0,9.0
CLI000343,0.0,0.0,0.0,0.0,8.0
CLI000344,0.0,7.0,0.0,0.0,8.0
CLI000345,0.0,10.0,0.0,0.0,0.0
CLI000346,0.0,0.0,9.0,0.0,0.0
CLI000347,8.0,0.0,7.0,8.0,7.0
CLI000348,0.0,0.0,8.0,9.5,8.5
CLI000349,0.0,0.0,9.0,9.0,7.0
CLI000350,0.0,9.0,0.0,0.0,7.0
CLI000351,0.0,8.0,7.0,0.0,0.0
CLI000352,8.0,0.0,7.5,9.0,0.0
CLI000353,0.0,0.0,0.0,0.0,8.0
CLI000355,0.0,0.0,8.0,0.0,0.0
CLI000356,0.0,0.0,9.0,0.0,9.0
CLI000357,0.0,7.5,10.0,0.0,0.0
CLI000358,8.0,0.0,9.0,0.0,7.0
CLI000359,0.0,7.0,0.0,8.0,0.0
CLI000361,8.0,8.0,8.0,8.5,8.0
CLI000362,9.0,0.0,0.0,0.0,0.0
CLI000363,0.0,7.333333333333333,0.0,0.0,7.0
CLI000364,0.0,0.0,9.0,9.0,9.0
CLI000365,0.0,0.0,0.0,0.0,9.0
CLI000366,0.0,0.0,0.0,10.0,10.0
CLI000367,0.0,8.0,0.0,9.0,0.0
CLI000369,0.0,0.0,8.0,0.0,10.0
CLI000370,0.0,0.0,8.5,0.0,9.0
CLI000371,8.0,7.0,8.0,6.0,0.0
CLI000372,8.0,7.5,8.0,0.0,8.5
CLI000373,10.0,8.0,0.0,0.0,8.0
CLI000374,0.0,8.0,0.0,8.0,7.0
CLI000375,8.0,8.0,8.0,6.5,9.0
CLI000376,9.0,0.0,0.0,0.0,9.0
CLI000377,0.0,9.0,0.0,0.0,7.5
CLI000378,9.0,0.0,0.0,8.0,0.0
CLI000379,8.0,7.0,9.0,8.0,0.0
CLI000380,8.0,8.0,8.0,0.0,0.0
CLI000381,0.0,0.0,9.0,0.0,0.0
CLI000382,0.0,0.0,9.0,0.0,0.0
CLI000383,7.5,0.0,0.0,0.0,8.0
CLI000384,0.0,0.0,0.0,0.0,8.0
CLI000386,0.0,0.0,0.0,9.0,6.0
CLI000387,0.0,7.0,0.0,0.0,0.0
CLI000388,0.0,0.0,0.0,10.0,0.0
CLI000389,0.0,9.0,0.0,0.0,0.0
CLI000390,0.0,0.0,0.0,0.0,9.0
CLI000391,0.0,0.0,0.0,8.0,0.0
CLI000392,0.0,0.0,8.0,0.0,0.0
CLI000393,0.0,7.0,9.0,0.0,8.0
CLI000394,0.0,0.0,8.0,8.0,0.0
CLI000395,0.0,0.0,8.0,0.0,8.5
CLI000396,9.0,8.0,8.0,8.5,0.0
CLI000397,0.0,0.0,0.0,7.0,0.0
CLI000398,9.0,8.0,8.0,0.0,7.0
CLI000399,7.0,8.333333333333334,7.0,0.0,8.0
CLI000400,0.0,7.0,0.0,0.0,0.0
CLI000401,0.0,0.0,0.0,7.0,7.0
CLI000402,0.0,0.0,10.0,0.0,9.0
CLI000403,0.0,0.0,7.0,0.0,0.0
CLI000404,8.5,0.0,0.0,0.0,9.0
CLI000405,7.0,10.0,9.0,7.0,7.5
CLI000407,0.0,7.0,0.0,7.0,0.0
CLI000408,0.0,9.0,0.0,0.0,0.0
CLI000409,6.0,0.0,8.0,8.0,0.0
CLI000410,0.0,8.0,7.5,0.0,0.0
CLI000411,0.0,8.0,0.0,0.0,8.0
CLI000413,8.0,0.0,0.0,6.0,0.0
CLI000414,0.0,0.0,0.0,7.0,0.0
CLI000415,8.0,8.0,7.0,9.0,7.0
CLI000418,0.0,7.0,0.0,0.0,9.0
CLI000419,8.0,7.0,0.0,8.0,8.0
CLI000420,0.0,9.0,0.0,7.0,0.0
CLI000422,0.0,8.5,10.0,7.0,0.0
CLI000423,0.0,0.0,0.0,0.0,10.0
CLI000424,0.0,0.0,7.0,0.0,9.0
CLI000425,0.0,7.0,0.0,0.0,8.8
CLI000426,0.0,0.0,0.0,0.0,8.0
CLI000427,0.0,8.0,0.0,8.0,0.0
CLI000428,10.0,0.0,0.0,0.0,0.0
CLI000429,7.0,0.0,0.0,0.0,0.0
CLI000430,9.0,0.0,0.0,8.0,0.0
CLI000431,8.0,0.0,9.0,0.0,0.0
CLI000432,0.0,6.0,0.0,7.0,0.0
CLI000433,9.0,0.0,9.0,0.0,0.0
CLI000434,9.0,8.0,0.0,6.0,0.0
CLI000435,0.0,0.0,0.0,0.0,9.0
CLI000436,0.0,0.0,0.0,8.0,0.0
CLI000437,0.0,0.0,8.0,0.0,0.0
CLI000438,7.0,0.0,0.0,9.0,0.0
CLI000439,10.0,0.0,0.0,0.0,10.0
CLI000441,0.0,9.0,7.0,8.0,0.0
CLI000442,0.0,0.0,0.0,10.0,9.0
CLI000443,0.0,0.0,0.0,8.5,8.0
CLI000444,0.0,9.0,0.0,0.0,0.0
CLI000445,9.0,9.0,8.0,0.0,8.0
CLI000446,0.0,7.0,8.0,8.0,7.0
CLI000447,0.0,8.5,9.0,8.0,0.0
CLI000448,7.0,0.0,0.0,0.0,0.0
CLI000449,8.0,0.0,0.0,0.0,0.0
CLI000450,0.0,0.0,9.0,0.0,7.0
CLI000451,8.0,0.0,8.0,0.0,0.0
CLI000452,10.0,0.0,0.0,0.0,10.0
CLI000453,0.0,0.0,10.0,10.0,8.0
CLI000454,0.0,9.0,0.0,0.0,0.0
CLI000455,0.0,7.0,0.0,0.0,0.0
CLI000456,8.0,9.0,0.0,9.0,8.0
CLI000457,8.0,9.0,0.0,8.0,8.0
CLI000459,7.0,0.0,0.0,0.0,0.0
CLI000461,8.0,0.0,9.0,0.0,0.0
CLI000462,0.0,0.0,10.0,9.0,0.0
CLI000463,0.0,8.5,0.0,8.0,0.0
CLI000464,0.0,0.0,7.0,9.0,8.333333333333334
CLI000465,0.0,0.0,0.0,7.5,8.0
CLI000466,8.0,9.0,0.0,9.0,0.0
CLI000467,0.0,7.0,7.0,0.0,0.0
CLI000468,0.0,9.0,0.0,7.0,7.0
CLI000469,0.0,0.0,0.0,7.0,0.0
CLI000470,0.0,0.0,0.0,10.0,9.0
CLI000471,0.0,0.0,8.0,0.0,0.0
CLI000472,9.0,0.0,9.0,7.0,0.0
CLI000473,0.0,0.0,0.0,7.0,0.0
CLI000474,0.0,9.0,7.0,0.0,0.0
CLI000475,7.0,0.0,0.0,8.0,8.0
CLI000476,8.0,8.0,0.0,8.0,8.5
CLI000477,0.0,0.0,9.0,0.0,0.0
CLI000478,0.0,0.0,0.0,0.0,8.0
CLI000479,9.0,0.0,0.0,0.0,0.0
CLI000480,0.0,0.0,8.0,0.0,9.0
CLI000481,7.0,9.0,0.0,0.0,0.0
CLI000482,0.0,0.0,9.0,0.0,0.0
CLI000484,0.0,0.0,0.0,0.0,8.0
CLI000485,0.0,8.666666666666666,0.0,0.0,6.0
CLI000486,7.0,0.0,8.0,0.0,8.0
CLI000487,0.0,0.0,8.0,0.0,0.0
CLI000488,0.0,0.0,8.0,7.0,9.0
CLI000489,0.0,0.0,9.0,7.0,0.0
CLI000490,0.0,8.0,0.0,0.0,0.0
CLI000491,0.0,0.0,0.0,0.0,10.0
CLI000492,0.0,0.0,8.0,6.0,8.0
CLI000493,0.0,0.0,0.0,0.0,9.0
CLI000494,9.0,8.0,8.0,0.0,8.0
CLI000495,0.0,0.0,0.0,0.0,7.0
CLI000496,7.0,0.0,6.0,0.0,0.0
CLI000497,8.0,8.0,0.0,0.0,0.0
CLI000498,0.0,0.0,9.0,0.0,9.0
CLI000499,7.0,9.0,0.0,0.0,0.0
CLI000500,0.0,0.0,8.0,8.0,8.5
CLI000501,7.5,7.5,9.0,0.0,0.0
CLI000502,0.0,0.0,0.0,0.0,9.0
CLI000503,0.0,0.0,7.0,7.0,9.0
CLI000505,0.0,9.25,8.0,0.0,7.0
CLI000506,0.0,0.0,0.0,7.0,0.0
CLI000507,7.0,0.0,0.0,0.0,8.0
CLI000508,7.5,8.0,8.0,9.0,0.0
CLI000509,0.0,10.0,0.0,0.0,8.0
CLI000511,0.0,0.0,7.0,8.0,0.0
CLI000512,8.0,8.0,0.0,0.0,7.0
CLI000513,0.0,0.0,0.0,0.0,8.0
CLI000515,0.0,0.0,0.0,9.0,0.0
CLI000516,0.0,0.0,0.0,8.0,0.0
CLI000517,0.0,0.0,7.0,0.0,8.0
CLI000518,6.0,10.0,0.0,0.0,9.0
CLI000520,9.0,0.0,8.0,0.0,8.0
CLI000521,0.0,0.0,0.0,0.0,7.0
CLI000522,0.0,0.0,10.0,0.0,0.0
CLI000524,0.0,7.0,10.0,9.0,0.0
CLI000525,0.0,0.0,9.0,0.0,0.0
CLI000526,8.0,9.0,9.0,0.0,8.0
CLI000527,9.0,9.0,0.0,0.0,0.0
CLI000529,8.0,7.0,0.0,9.0,10.0
CLI000530,9.0,0.0,0.0,0.0,0.0
CLI000532,0.0,0.0,0.0,8.0,0.0
CLI000533,9.0,7.0,8.0,0.0,0.0
CLI000534,0.0,0.0,0.0,8.0,8.5
CLI000535,0.0,7.0,0.0,0.0,0.0
CLI000536,0.0,0.0,0.0,9.0,0.0
CLI000537,8.0,0.0,0.0,9.0,0.0
CLI000539,0.0,8.0,0.0,7.5,9.0
CLI000540,0.0,0.0,0.0,9.0,0.0
CLI000541,7.0,0.0,0.0,0.0,9.0
CLI000542,8.0,0.0,0.0,0.0,7.0
CLI000543,8.0,0.0,0.0,0.0,0.0
CLI000544,8.0,8.0,0.0,0.0,0.0
CLI000545,8.0,8.0,0.0,0.0,0.0
CLI000546,0.0,7.5,0.0,0.0,0.0
CLI000547,0.0,0.0,8.0,0.0,8.0
CLI000549,0.0,6.0,8.0,8.0,0.0
CLI000550,0.0,0.0,8.0,0.0,9.0
CLI000551,0.0,6.0,9.0,0.0,8.0
CLI000552,0.0,0.0,9.0,0.0,0.0
CLI000553,7.5,8.0,9.0,0.0,8.0
CLI000554,8.5,8.0,8.0,0.0,7.0
CLI000555,7.0,0.0,0.0,0.0,0.0
CLI000556,0.0,0.0,0.0,8.0,0.0
CLI000557,0.0,0.0,9.0,8.0,0.0
CLI000558,0.0,0.0,0.0,8.0,0.0
CLI000559,0.0,9.0,0.0,8.0,8.5
CLI000560,8.0,0.0,8.0,7.0,8.0
CLI000561,0.0,0.0,0.0,0.0,8.5
CLI000562,0.0,0.0,0.0,8.0,7.0
CLI000563,0.0,0.0,8.0,8.0,0.0
CLI000564,8.0,0.0,0.0,0.0,0.0
CLI000565,0.0,0.0,8.0,0.0,0.0
CLI000566,0.0,0.0,0.0,9.0,9.0
CLI000567,0.0,0.0,9.0,9.0,0.0
CLI000568,8.0,0.0,0.0,0.0,0.0
CLI000569,0.0,9.0,0.0,0.0,0.0
CLI000570,8.0,10.0,10.0,0.0,0.0
CLI000571,0.0,0.0,7.0,8.0,8.0
CLI000572,7.0,0.0,8.0,7.5,6.0
CLI000573,0.0,9.0,8.0,9.0,0.0
CLI000574,0.0,8.0,0.0,0.0,0.0
CLI000575,0.0,9.0,0.0,0.0,0.0
CLI000576,6.0,7.0,8.0,7.0,0.0
CLI000577,9.0,0.0,0.0,9.0,8.0
CLI000578,0.0,8.0,8.0,7.0,0.0
CLI000579,8.0,8.0,10.0,0.0,0.0
CLI000580,8.0,9.0,0.0,0.0,7.0
